species,countryCode,Longitude,Latitude,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species2,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode2,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
Acianthera eximia,MX,-96.47,15.95,218888256,8501be96-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera eximia,,SPECIES,Pleurothallis eximia L.O.Williams,Pleurothallis eximia L.O. Williams,L.O. Williams,MX,Valley of Copalita River northwest of Pluma Hidalgo.,Morelos,PRESENT,,b459e790-0d3c-11d9-8431-b8a03c50a862,15.95,-96.466.667,,,1000,,,,10/08/1936,10,8,1936,2839863,2839861,OCCURRENCE,IBUNAM,MEXU,540507,,,,CC_BY_NC_4_0,,O. Nagel,,,2025-02-16T15:30:56.204Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_SWAPPED_COORDINATE;PRESUMED_NEGATED_LONGITUDE;BASIS_OF_RECORD_INVALID
Acianthera hondurensis,BZ,-89.03,15.95,912401546,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,http://specimens.kew.org/herbarium/K000482076,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera hondurensis,,SPECIES,Acianthera hondurensis (Ames) Pridgeon & M.W.Chase,Acianthera hondurensis,(Ames) Pridgeon & M.W.Chase,BZ,"Blue Creek, above Blue Creek Village, Toledo District",,PRESENT,,061b4f20-f241-11da-a328-b8a03c50a862,16.2,-89.033.333,2000,,40,,,,1979-01-31 0:00,31,1,1979,2839519,2839519,PRESERVED_SPECIMEN,K,Herbarium,K000482076,291,"Adams, B.R.",,CC_BY_4_0,,"Adams, B.R.",,,2025-02-28T00:07:05.831Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
Acianthera verecunda,CR,-84.02,8.44,883367717,2429287b-ef65-4cfd-afcc-11cc3ba95cca,urn:catalog:ALTA-VP:96295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera verecunda,,SPECIES,Pleurothallis verecunda Schltr.,Pleurothallis verecunda Schltr.,,CR,La Selva Biological Station,Heredia,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,10.4209,-840.199,3200,,,,,,08/03/1991,8,3,1991,2839909,2839908,PRESERVED_SPECIMEN,University of Alberta Museums,ALTA-VP,96295,67,"Richardson, Katherine",,CC0_1_0,University of Alberta Museums,"Richardson, Katherine",,,2025-02-27T20:42:47.372Z,,COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
Acianthera verecunda,CR,-84.02,8.44,883367781,2429287b-ef65-4cfd-afcc-11cc3ba95cca,urn:catalog:ALTA-VP:96296,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera verecunda,,SPECIES,Pleurothallis verecunda Schltr.,Pleurothallis verecunda Schltr.,,CR,La Selva Biological Station,Heredia,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,10.4209,-840.199,3200,,,,,,06/03/1991,6,3,1991,2839909,2839908,PRESERVED_SPECIMEN,University of Alberta Museums,ALTA-VP,96296,58,"Richardson, Katherine; Currah, Randy",,CC0_1_0,University of Alberta Museums,"Richardson, Katherine;Currah, Randy",,,2025-02-27T20:42:47.372Z,,COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
Acianthera pantasmi,CR,-84.02,8.44,883368358,2429287b-ef65-4cfd-afcc-11cc3ba95cca,urn:catalog:ALTA-VP:96316,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi Rchb. f.,,CR,La Selva Biological Station,Heredia,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,10.4209,-840.199,3200,,,,,,22/03/1991,22,3,1991,2839821,2839819,PRESERVED_SPECIMEN,University of Alberta Museums,ALTA-VP,96316,00137A,"Richardson, Katherine",,CC0_1_0,University of Alberta Museums,"Richardson, Katherine",,,2025-02-27T20:42:46.863Z,,COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
Acianthera pantasmi,CR,-84.02,8.44,883368413,2429287b-ef65-4cfd-afcc-11cc3ba95cca,urn:catalog:ALTA-VP:96282,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi Rchb. f.,,CR,La Selva Biological Station,Heredia,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,10.4209,-840.199,3200,,,,,,24/04/1991,24,4,1991,2839821,2839819,PRESERVED_SPECIMEN,University of Alberta Museums,ALTA-VP,96282,292,"Richardson, Katherine",,CC0_1_0,University of Alberta Museums,"Richardson, Katherine",,,2025-02-27T20:42:47.319Z,,COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
Acianthera pantasmi,CR,-84.02,8.44,883381890,2429287b-ef65-4cfd-afcc-11cc3ba95cca,urn:catalog:ALTA-VP:96317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera pantasmi,,SPECIES,Pleurothallis pantasmi Rchb.f.,Pleurothallis pantasmi Rchb. f.,,CR,La Selva Biological Station,Heredia,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,10.4209,-840.199,3200,,,,,,22/03/1991,22,3,1991,2839821,2839819,PRESERVED_SPECIMEN,University of Alberta Museums,ALTA-VP,96317,137,"Richardson, Katherine",,CC0_1_0,University of Alberta Museums,"Richardson, Katherine",,,2025-02-27T20:42:46.863Z,,COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
Acianthera verecunda,CR,-83.98,8.89,177006489,95c938a8-f762-11e1-a439-00145eb45e9a,0d2d50bf-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera verecunda,,SPECIES,Pleurothallis verecunda Schltr.,Pleurothallis verecunda,,CR,"3 km S Puerto Viejo, La Selva Biological Station",Heredia,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,10.4333,-83.983.299,,,,,,,11/06/1996,11,6,1996,2839909,2839908,PRESERVED_SPECIMEN,KU,KANU,309572,,Caleb A Morse,,CC_BY_4_0,,Caleb A Morse,,,2025-02-13T16:10:20.259Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84
,CR,-83.08,8.88,730300886,d6fa86b9-8906-4622-9ebc-24d393c9ac12,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,,,GENUS,Acianthera Scheidw.,Acianthera sp,,CR,,Puntarenas,PRESENT,,a4d6cc6b-4c62-4015-ad7b-1ba69847a616,888.375,-83.076.667,,,,,,,,,,,7848554,,LIVING_SPECIMEN,OTS,Wilson Botanical Garden - Las Cruces Biological Station,20120111,,-,,CC_BY_4_0,,"Oviedo-Brenes, Federico",,,2025-02-02T16:34:29.830Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
Acianthera cogniauxiana,CR,-82.97,8.79,730303898,d6fa86b9-8906-4622-9ebc-24d393c9ac12,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera cogniauxiana,,SPECIES,Acianthera cogniauxiana (Schltr.) Pridgeon & M.W.Chase,Acianthera cogniauxiana,(Schltr.) Pridgeon & M.W.Chase,CR,,Puntarenas,PRESENT,,a4d6cc6b-4c62-4015-ad7b-1ba69847a616,8.794.972,-82.970.417,,,,,,,,,,,2839516,2839516,LIVING_SPECIMEN,OTS,Wilson Botanical Garden - Las Cruces Biological Station,20120183,,"Oviedo-Brenes, Federico",,CC_BY_4_0,,"Oviedo-Brenes, Federico",,,2025-02-02T16:34:29.785Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
