species,countryCode,Longitude,Latitude,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species2,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode2,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
,CR,"-84,55","10,13",45815831,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,,,GENUS,Acianthera Scheidw.,Pleurothallis cogniauxiana,Pleurothallis cogniauxiana  Schltr.,CR,La Palma.,Alajuela,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.13,-84.55,,,1150,0,,,24/01/1925,24,1,1925,7848554,,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),26109,,,,CC_BY_4_0,,"Brenes, Alberto Manuel",,,2025-02-16T15:36:09.266Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera circumplexa,CR,"-84,36","9,86",45816035,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera circumplexa,,SPECIES,Pleurothallis circumplexa Lindl.,Pleurothallis circumplexa,Pleurothallis circumplexa  Lindl.,CR,Piedades.,San José,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.86,-84.36,,,1170,0,,,1913-02,,2,1913,2839805,2839802,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),34027,,O. Jiménez,,CC_BY_4_0,,"Jiménez, Otón",,,2025-02-16T15:36:08.762Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,01","9,83",45816155,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,pleurothallis sicaria,pleurothallis sicaria  Lindl.,CR,"Hills, 5 km SW of Tobosi.",Cartago,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.83,-84.01,,,1700,0,,,11/02/1973,11,2,1973,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),54333,,"Barringer, Kerry A.",,CC_BY_4_0,,"Lent, Roy W.",,,2025-02-16T15:36:09.267Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,36","10,36",45816164,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,"Edge of cleared fields and wooded areas bordering steep slopes above the Río Aguas Zarcas, south of Aguas Zarcas.",Alajuela,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.36,-84.36,,,600,0,,,20/05/1968,20,5,1968,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),57656,,"Barringer, Kerry A.",,CC_BY_4_0,,"Burger, William",,,2025-02-16T15:36:09.267Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera lojae,CR,"-83,98","9,77",45816202,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera lojae,,SPECIES,Pleurothallis lojae Schltr.,Pleurothallis lojae,Pleurothallis lojae  Schltr.,CR,La Ventolera cerca del Empalme.,Cartago,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.77,-83.98,,,1900,0,,,12/09/1969,12,9,1969,2839654,2839652,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),63004,,"Quesada, Alonso",,CC_BY_4_0,,"Gómez, Luis Diego",,,2025-02-16T15:36:09.116Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,05","9,83",45816241,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,Tablazo.,San José,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.83,-84.05,,,1500,0,,,17/03/1978,17,3,1978,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),65881,,"Barringer, Kerry A.",,CC_BY_4_0,,"Todzia, Carol A.",,,2025-02-16T15:36:09.600Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,55","10,13",45817154,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,La Palma.,Alajuela,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.13,-84.55,,,1400,0,,,24/01/1984,24,1,1984,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),97692,,"Quesada, Alonso",,CC_BY_4_0,,"Gómez Laurito, Jorge",,,2025-02-16T15:36:09.270Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-83,95","9,76",45817293,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,Ca 6 km S of Cartago by air. Quebrada Cangreja. 3 km S of Pan American Highway. Remanant forest.,Cartago,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,9.76,-83.95,,,1635,0,,,21/04/1983,21,4,1983,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),100231,,"Morales, Juan Francisco",,CC_BY_4_0,,"Liesner, Ronald",,,2025-02-16T15:36:08.922Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
Acianthera sicaria,CR,"-84,8","10,032025",45817791,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,Acianthera sicaria,,SPECIES,Pleurothallis sicaria Lindl.,Pleurothallis sicaria,Pleurothallis sicaria  Lindl.,CR,"Monteverde, in trees of dairy pastures.",Puntarenas,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.3,-84.8,,,1525,0,,,11/03/1989,11,3,1989,2839590,2839584,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),137889,,"Morales, Juan Francisco",,CC_BY_4_0,,"Atwood, John T.",,,2025-02-16T15:36:08.767Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
,CR,"-84,8","10,26",45817862,848182d0-f762-11e1-a439-00145eb45e9a,,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,,,GENUS,Acianthera Scheidw.,Pleurothallis cogniauxiana,Pleurothallis cogniauxiana  Schltr.,CR,R. B. Monteverde Cerro Amapola.,Puntarenas,PRESENT,,036cdc50-e7f5-11d9-9a0e-b8a03c50a862,10.26,-84.8,,,1400,0,,,21/04/1989,21,4,1989,7848554,,PRESERVED_SPECIMEN,Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),147836,,"Atwood, John T.",,CC_BY_4_0,,"Bello, Erick",,,2025-02-16T15:36:09.604Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
