gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
45815708;Acianthera johnsonii;;;NORTH_AMERICA;CR
45815720;Acianthera pantasmi;;;NORTH_AMERICA;CR
45815724;Acianthera johnsonii;;;NORTH_AMERICA;CR
45815728;Acianthera sicaria;;;NORTH_AMERICA;CR
45815749;Acianthera sicaria;;;NORTH_AMERICA;CR
45815829;Acianthera;;;NORTH_AMERICA;CR
45815830;Acianthera;;;NORTH_AMERICA;CR
45815831;Acianthera;10.13000;-84.55000;NORTH_AMERICA;CR
45815976;Acianthera pantasmi;;;NORTH_AMERICA;CR
45815977;Acianthera pantasmi;;;NORTH_AMERICA;CR
45816035;Acianthera circumplexa;9.86000;-84.36000;NORTH_AMERICA;CR
45816037;Acianthera decipiens;;;NORTH_AMERICA;CR
45816038;Acianthera decipiens;;;NORTH_AMERICA;CR
45816064;Acianthera sicaria;;;NORTH_AMERICA;CR
45816067;Acianthera sicaria;;;NORTH_AMERICA;CR
45816084;Acianthera johnsonii;;;NORTH_AMERICA;CR
45816155;Acianthera sicaria;9.83000;-84.01000;NORTH_AMERICA;CR
45816164;Acianthera sicaria;10.36000;-84.36000;NORTH_AMERICA;CR
45816189;Acianthera sicaria;;;NORTH_AMERICA;CR
45816202;Acianthera lojae;9.77000;-83.98000;NORTH_AMERICA;CR
45816241;Acianthera sicaria;9.83000;-84.05000;NORTH_AMERICA;CR
45816372;Acianthera decipiens;;;NORTH_AMERICA;CR
45816377;Acianthera;;;NORTH_AMERICA;CR
45816380;Acianthera sicaria;;;NORTH_AMERICA;CR
45816501;Acianthera;;;NORTH_AMERICA;CR
45816713;Acianthera decipiens;;;NORTH_AMERICA;CR
45816806;Acianthera sicaria;;;NORTH_AMERICA;CR
45817077;Acianthera sicaria;;;NORTH_AMERICA;CR
45817154;Acianthera sicaria;10.13000;-84.55000;NORTH_AMERICA;CR
45817293;Acianthera sicaria;9.76000;-83.95000;NORTH_AMERICA;CR
45817660;Acianthera johnsonii;;;NORTH_AMERICA;CR
45817791;Acianthera sicaria;10.30000;-84.80000;NORTH_AMERICA;CR
45817862;Acianthera;10.26000;-84.80000;NORTH_AMERICA;CR
45817883;Acianthera johnsonii;10.05000;-84.00000;NORTH_AMERICA;CR
45817904;Acianthera lojae;10.46000;-84.06000;NORTH_AMERICA;CR
45817913;Acianthera sicaria;10.30000;-84.80000;NORTH_AMERICA;CR
45817963;Acianthera verecunda;10.43000;-84.03000;NORTH_AMERICA;CR
45817973;Acianthera pantasmi;10.43000;-84.03000;NORTH_AMERICA;CR
45817982;Acianthera pantasmi;10.43000;-84.03000;NORTH_AMERICA;CR
45817992;Acianthera pantasmi;10.43000;-84.03000;NORTH_AMERICA;CR
45818205;Acianthera sicaria;10.26000;-84.36000;NORTH_AMERICA;CR
45818376;Acianthera sicaria;9.71000;-84.13000;NORTH_AMERICA;CR
45818398;Acianthera;10.25000;-84.79000;NORTH_AMERICA;CR
45818544;Acianthera verecunda;9.41000;-83.94000;NORTH_AMERICA;CR
45818571;Acianthera pantasmi;9.76000;-83.33000;NORTH_AMERICA;CR
45818574;Acianthera;10.26000;-84.68000;NORTH_AMERICA;CR
45818593;Acianthera pantasmi;9.54000;-84.02000;NORTH_AMERICA;CR
